month,region,data_type,values
Jun 2020,Flemington,Total JobSeeker and Youth allowance recipients,994
Jun 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.4
Jun 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,722
Jun 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.4
Jun 2020,Airport West,Total JobSeeker and Youth allowance recipients,458
Jun 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.4
Jun 2020,Keilor East,Total JobSeeker and Youth allowance recipients,1315
Jun 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.7
Jun 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,304
Jun 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
Jun 2020,Strathmore,Total JobSeeker and Youth allowance recipients,365
Jun 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.4
Apr 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,873
Apr 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.5
Apr 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1018
Apr 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.6
Apr 2020,Flemington,Total JobSeeker and Youth allowance recipients,873
Apr 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,10
Apr 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,618
Apr 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.5
Apr 2020,Airport West,Total JobSeeker and Youth allowance recipients,384
Apr 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7
Apr 2020,Keilor East,Total JobSeeker and Youth allowance recipients,1053
Apr 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.1
Apr 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,212
Apr 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.1
Apr 2020,Strathmore,Total JobSeeker and Youth allowance recipients,281
Apr 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.1
Mar 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,542
Mar 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.6
Mar 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,453
Mar 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.1
Mar 2020,Flemington,Total JobSeeker and Youth allowance recipients,542
Mar 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.2
Mar 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,275
Mar 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.4
Mar 2020,Airport West,Total JobSeeker and Youth allowance recipients,215
Mar 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.9
Mar 2020,Keilor East,Total JobSeeker and Youth allowance recipients,612
Mar 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.6
Mar 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,109
Mar 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.1
Mar 2020,Strathmore,Total JobSeeker and Youth allowance recipients,141
Mar 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,2.1
May 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,1047
May 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.9
May 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1267
May 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.8
May 2020,Flemington,Total JobSeeker and Youth allowance recipients,997
May 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.5
May 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,752
May 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.7
May 2020,Airport West,Total JobSeeker and Youth allowance recipients,483
May 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.8
May 2020,Keilor East,Total JobSeeker and Youth allowance recipients,1355
May 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
May 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,321
May 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.3
May 2020,Strathmore,Total JobSeeker and Youth allowance recipients,368
May 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.4
Sep 2020,Ascot Vale,Total JobSeeker and Youth allowance recipients,1054
Sep 2020,Ascot Vale,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
Sep 2020,Essendon - Aberfeldie,Total JobSeeker and Youth allowance recipients,1291
Sep 2020,Essendon - Aberfeldie,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.9
Sep 2020,Flemington,Total JobSeeker and Youth allowance recipients,998
Sep 2020,Flemington,Percentage aged 15-64 on either JobSeeker or Youth Allowance,11.5
Sep 2020,Moonee Ponds,Total JobSeeker and Youth allowance recipients,783
Sep 2020,Moonee Ponds,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.9
Sep 2020,Airport West,Total JobSeeker and Youth allowance recipients,473
Sep 2020,Airport West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.6
Sep 2020,Keilor East,Total JobSeeker and Youth allowance recipients,1388
Sep 2020,Keilor East,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.1
Sep 2020,Niddrie - Essendon West,Total JobSeeker and Youth allowance recipients,310
Sep 2020,Niddrie - Essendon West,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6
Sep 2020,Strathmore,Total JobSeeker and Youth allowance recipients,356
Sep 2020,Strathmore,Percentage aged 15-64 on either JobSeeker or Youth Allowance,5.2
Mar 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,2889
Mar 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.3
Apr 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,5312
Apr 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6
May 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6590
May 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.5
Jun 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6422
Jun 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.3
Jul 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6664
Jul 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.6
Aug 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6918
Aug 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
Sep 2020,City of Moonee Valley,Total JobSeeker and Youth allowance recipients,6653
Sep 2020,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.6
Mar 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,130575
Mar 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.8
Apr 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,226020
Apr 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.6
May 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,287358
May 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.3
Jun 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,283576
Jun 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.2
Jul 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,294473
Jul 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.5
Aug 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,309110
Aug 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
Sep 2020,Greater Melbourne,Total JobSeeker and Youth allowance recipients,299832
Sep 2020,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
Mar 2020,Victoria,Total JobSeeker and Youth allowance recipients,193492
Mar 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.4
Apr 2020,Victoria,Total JobSeeker and Youth allowance recipients,312858
Apr 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.2
May 2020,Victoria,Total JobSeeker and Youth allowance recipients,389193
May 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.9
Jun 2020,Victoria,Total JobSeeker and Youth allowance recipients,384087
Jun 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.8
Jul 2020,Victoria,Total JobSeeker and Youth allowance recipients,396138
Jul 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.1
Aug 2020,Victoria,Total JobSeeker and Youth allowance recipients,413300
Aug 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.4
Sep 2020,Victoria,Total JobSeeker and Youth allowance recipients,401130
Sep 2020,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
