sa2,sa2_name,month,data_type,values
21016,Maryborough (Vic.),2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,13.5
21017,Maryborough Region,2020-03-01,JobSeeker payment recipients,365
21017,Maryborough Region,2020-03-01,Youth Allowance recipients,36
21017,Maryborough Region,2020-03-01,Total JobSeeker and Youth allowance recipients,401
21017,Maryborough Region,2020-03-01,Population aged 15-64 y.o.,3146
21017,Maryborough Region,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,12.7
21018,Bendigo,2020-03-01,JobSeeker payment recipients,940
21018,Bendigo,2020-03-01,Youth Allowance recipients,115
21018,Bendigo,2020-03-01,Total JobSeeker and Youth allowance recipients,1055
21018,Bendigo,2020-03-01,Population aged 15-64 y.o.,9661
21018,Bendigo,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,10.9
21019,California Gully - Eaglehawk,2020-03-01,JobSeeker payment recipients,679
21019,California Gully - Eaglehawk,2020-03-01,Youth Allowance recipients,120
21019,California Gully - Eaglehawk,2020-03-01,Total JobSeeker and Youth allowance recipients,799
21019,California Gully - Eaglehawk,2020-03-01,Population aged 15-64 y.o.,7963
21019,California Gully - Eaglehawk,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,10
21020,East Bendigo - Kennington,2020-03-01,JobSeeker payment recipients,462
21020,East Bendigo - Kennington,2020-03-01,Youth Allowance recipients,72
21020,East Bendigo - Kennington,2020-03-01,Total JobSeeker and Youth allowance recipients,534
21020,East Bendigo - Kennington,2020-03-01,Population aged 15-64 y.o.,8295
21020,East Bendigo - Kennington,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.4
21021,Flora Hill - Spring Gully,2020-03-01,JobSeeker payment recipients,367
21021,Flora Hill - Spring Gully,2020-03-01,Youth Allowance recipients,67
21021,Flora Hill - Spring Gully,2020-03-01,Total JobSeeker and Youth allowance recipients,434
21021,Flora Hill - Spring Gully,2020-03-01,Population aged 15-64 y.o.,6408
21021,Flora Hill - Spring Gully,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.8
21022,Kangaroo Flat - Golden Square,2020-03-01,JobSeeker payment recipients,874
21022,Kangaroo Flat - Golden Square,2020-03-01,Youth Allowance recipients,106
21022,Kangaroo Flat - Golden Square,2020-03-01,Total JobSeeker and Youth allowance recipients,980
21022,Kangaroo Flat - Golden Square,2020-03-01,Population aged 15-64 y.o.,12463
21022,Kangaroo Flat - Golden Square,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.9
21023,Maiden Gully,2020-03-01,JobSeeker payment recipients,81
21023,Maiden Gully,2020-03-01,Youth Allowance recipients,7
21023,Maiden Gully,2020-03-01,Total JobSeeker and Youth allowance recipients,88
21023,Maiden Gully,2020-03-01,Population aged 15-64 y.o.,3429
21023,Maiden Gully,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.6
21024,Strathfieldsaye,2020-03-01,JobSeeker payment recipients,124
21024,Strathfieldsaye,2020-03-01,Youth Allowance recipients,19
21024,Strathfieldsaye,2020-03-01,Total JobSeeker and Youth allowance recipients,143
21024,Strathfieldsaye,2020-03-01,Population aged 15-64 y.o.,5872
21024,Strathfieldsaye,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.4
21025,White Hills - Ascot,2020-03-01,JobSeeker payment recipients,393
21025,White Hills - Ascot,2020-03-01,Youth Allowance recipients,69
21025,White Hills - Ascot,2020-03-01,Total JobSeeker and Youth allowance recipients,462
21025,White Hills - Ascot,2020-03-01,Population aged 15-64 y.o.,8475
21025,White Hills - Ascot,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.5
21026,Bendigo Region - South,2020-03-01,JobSeeker payment recipients,143
21026,Bendigo Region - South,2020-03-01,Youth Allowance recipients,13
21026,Bendigo Region - South,2020-03-01,Total JobSeeker and Youth allowance recipients,156
21026,Bendigo Region - South,2020-03-01,Population aged 15-64 y.o.,4984
21026,Bendigo Region - South,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.1
21027,Castlemaine,2020-03-01,JobSeeker payment recipients,352
21027,Castlemaine,2020-03-01,Youth Allowance recipients,27
21027,Castlemaine,2020-03-01,Total JobSeeker and Youth allowance recipients,379
21027,Castlemaine,2020-03-01,Population aged 15-64 y.o.,6611
21027,Castlemaine,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.7
21028,Castlemaine Region,2020-03-01,JobSeeker payment recipients,318
21028,Castlemaine Region,2020-03-01,Youth Allowance recipients,21
21028,Castlemaine Region,2020-03-01,Total JobSeeker and Youth allowance recipients,339
21028,Castlemaine Region,2020-03-01,Population aged 15-64 y.o.,5240
21028,Castlemaine Region,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.5
21029,Heathcote,2020-03-01,JobSeeker payment recipients,270
21029,Heathcote,2020-03-01,Youth Allowance recipients,12
21029,Heathcote,2020-03-01,Total JobSeeker and Youth allowance recipients,282
21029,Heathcote,2020-03-01,Population aged 15-64 y.o.,2666
21029,Heathcote,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,10.6
21030,Kyneton,2020-03-01,JobSeeker payment recipients,221
21030,Kyneton,2020-03-01,Youth Allowance recipients,12
21030,Kyneton,2020-03-01,Total JobSeeker and Youth allowance recipients,233
21030,Kyneton,2020-03-01,Population aged 15-64 y.o.,6150
21030,Kyneton,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.8
21031,Woodend,2020-03-01,JobSeeker payment recipients,97
21031,Woodend,2020-03-01,Youth Allowance recipients,13
21031,Woodend,2020-03-01,Total JobSeeker and Youth allowance recipients,110
21031,Woodend,2020-03-01,Population aged 15-64 y.o.,4520
21031,Woodend,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.4
21032,Bendigo Region - North,2020-03-01,JobSeeker payment recipients,142
21032,Bendigo Region - North,2020-03-01,Youth Allowance recipients,13
21032,Bendigo Region - North,2020-03-01,Total JobSeeker and Youth allowance recipients,155
21032,Bendigo Region - North,2020-03-01,Population aged 15-64 y.o.,2816
21032,Bendigo Region - North,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.5
21033,Loddon,2020-03-01,JobSeeker payment recipients,351
21033,Loddon,2020-03-01,Youth Allowance recipients,35
21033,Loddon,2020-03-01,Total JobSeeker and Youth allowance recipients,386
21033,Loddon,2020-03-01,Population aged 15-64 y.o.,3982
21033,Loddon,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,9.7
21034,Bannockburn,2020-03-01,JobSeeker payment recipients,86
21034,Bannockburn,2020-03-01,Youth Allowance recipients,15
21034,Bannockburn,2020-03-01,Total JobSeeker and Youth allowance recipients,101
21034,Bannockburn,2020-03-01,Population aged 15-64 y.o.,4510
21034,Bannockburn,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.2
21035,Golden Plains - South,2020-03-01,JobSeeker payment recipients,150
21035,Golden Plains - South,2020-03-01,Youth Allowance recipients,19
21035,Golden Plains - South,2020-03-01,Total JobSeeker and Youth allowance recipients,169
21035,Golden Plains - South,2020-03-01,Population aged 15-64 y.o.,4658
21035,Golden Plains - South,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.6
21036,Winchelsea,2020-03-01,JobSeeker payment recipients,141
21036,Winchelsea,2020-03-01,Youth Allowance recipients,5
21036,Winchelsea,2020-03-01,Total JobSeeker and Youth allowance recipients,146
21036,Winchelsea,2020-03-01,Population aged 15-64 y.o.,3671
21036,Winchelsea,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,4
21037,Belmont,2020-03-01,JobSeeker payment recipients,410
21037,Belmont,2020-03-01,Youth Allowance recipients,48
21037,Belmont,2020-03-01,Total JobSeeker and Youth allowance recipients,458
21037,Belmont,2020-03-01,Population aged 15-64 y.o.,9225
21037,Belmont,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5
21038,Corio - Norlane,2020-03-01,JobSeeker payment recipients,2217
21038,Corio - Norlane,2020-03-01,Youth Allowance recipients,291
21038,Corio - Norlane,2020-03-01,Total JobSeeker and Youth allowance recipients,2508
21038,Corio - Norlane,2020-03-01,Population aged 15-64 y.o.,17985
21038,Corio - Norlane,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,13.9
21039,Geelong,2020-03-01,JobSeeker payment recipients,575
21039,Geelong,2020-03-01,Youth Allowance recipients,82
21039,Geelong,2020-03-01,Total JobSeeker and Youth allowance recipients,657
21039,Geelong,2020-03-01,Population aged 15-64 y.o.,9378
21039,Geelong,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7
21040,Geelong West - Hamlyn Heights,2020-03-01,JobSeeker payment recipients,552
21040,Geelong West - Hamlyn Heights,2020-03-01,Youth Allowance recipients,62
21040,Geelong West - Hamlyn Heights,2020-03-01,Total JobSeeker and Youth allowance recipients,614
21040,Geelong West - Hamlyn Heights,2020-03-01,Population aged 15-64 y.o.,13815
21040,Geelong West - Hamlyn Heights,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,4.4
21041,Grovedale,2020-03-01,JobSeeker payment recipients,595
21041,Grovedale,2020-03-01,Youth Allowance recipients,96
21041,Grovedale,2020-03-01,Total JobSeeker and Youth allowance recipients,691
21041,Grovedale,2020-03-01,Population aged 15-64 y.o.,17899
21041,Grovedale,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.9
21042,Highton,2020-03-01,JobSeeker payment recipients,302
21042,Highton,2020-03-01,Youth Allowance recipients,45
21042,Highton,2020-03-01,Total JobSeeker and Youth allowance recipients,347
21042,Highton,2020-03-01,Population aged 15-64 y.o.,15271
21042,Highton,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.3
21043,Lara,2020-03-01,JobSeeker payment recipients,445
21043,Lara,2020-03-01,Youth Allowance recipients,58
21043,Lara,2020-03-01,Total JobSeeker and Youth allowance recipients,503
21043,Lara,2020-03-01,Population aged 15-64 y.o.,13338
21043,Lara,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.8
21044,Leopold,2020-03-01,JobSeeker payment recipients,297
21044,Leopold,2020-03-01,Youth Allowance recipients,23
21044,Leopold,2020-03-01,Total JobSeeker and Youth allowance recipients,320
21044,Leopold,2020-03-01,Population aged 15-64 y.o.,8470
21044,Leopold,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.8
21045,Newcomb - Moolap,2020-03-01,JobSeeker payment recipients,781
21045,Newcomb - Moolap,2020-03-01,Youth Allowance recipients,98
21045,Newcomb - Moolap,2020-03-01,Total JobSeeker and Youth allowance recipients,879
21045,Newcomb - Moolap,2020-03-01,Population aged 15-64 y.o.,9288
21045,Newcomb - Moolap,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,9.5
21046,Newtown (Vic.),2020-03-01,JobSeeker payment recipients,162
21046,Newtown (Vic.),2020-03-01,Youth Allowance recipients,9
21046,Newtown (Vic.),2020-03-01,Total JobSeeker and Youth allowance recipients,171
21046,Newtown (Vic.),2020-03-01,Population aged 15-64 y.o.,6815
21046,Newtown (Vic.),2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.5
21047,North Geelong - Bell Park,2020-03-01,JobSeeker payment recipients,585
21047,North Geelong - Bell Park,2020-03-01,Youth Allowance recipients,57
21047,North Geelong - Bell Park,2020-03-01,Total JobSeeker and Youth allowance recipients,642
21047,North Geelong - Bell Park,2020-03-01,Population aged 15-64 y.o.,9408
21047,North Geelong - Bell Park,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.8
21048,Clifton Springs,2020-03-01,JobSeeker payment recipients,434
21048,Clifton Springs,2020-03-01,Youth Allowance recipients,34
21048,Clifton Springs,2020-03-01,Total JobSeeker and Youth allowance recipients,468
21048,Clifton Springs,2020-03-01,Population aged 15-64 y.o.,8599
21048,Clifton Springs,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.4
21049,Lorne - Anglesea,2020-03-01,JobSeeker payment recipients,69
21049,Lorne - Anglesea,2020-03-01,Youth Allowance recipients,5
21049,Lorne - Anglesea,2020-03-01,Total JobSeeker and Youth allowance recipients,74
21049,Lorne - Anglesea,2020-03-01,Population aged 15-64 y.o.,3135
21049,Lorne - Anglesea,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.4
21050,Ocean Grove - Barwon Heads,2020-03-01,JobSeeker payment recipients,458
21050,Ocean Grove - Barwon Heads,2020-03-01,Youth Allowance recipients,44
21050,Ocean Grove - Barwon Heads,2020-03-01,Total JobSeeker and Youth allowance recipients,502
21050,Ocean Grove - Barwon Heads,2020-03-01,Population aged 15-64 y.o.,16098
21050,Ocean Grove - Barwon Heads,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.1
21051,Portarlington,2020-03-01,JobSeeker payment recipients,330
21051,Portarlington,2020-03-01,Youth Allowance recipients,25
21051,Portarlington,2020-03-01,Total JobSeeker and Youth allowance recipients,355
21051,Portarlington,2020-03-01,Population aged 15-64 y.o.,4084
21051,Portarlington,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,8.7
21052,Point Lonsdale - Queenscliff,2020-03-01,JobSeeker payment recipients,60
21052,Point Lonsdale - Queenscliff,2020-03-01,Youth Allowance recipients,5
21052,Point Lonsdale - Queenscliff,2020-03-01,Total JobSeeker and Youth allowance recipients,65
21052,Point Lonsdale - Queenscliff,2020-03-01,Population aged 15-64 y.o.,2135
21052,Point Lonsdale - Queenscliff,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3
21053,Torquay,2020-03-01,JobSeeker payment recipients,285
21053,Torquay,2020-03-01,Youth Allowance recipients,11
21053,Torquay,2020-03-01,Total JobSeeker and Youth allowance recipients,296
21053,Torquay,2020-03-01,Population aged 15-64 y.o.,12889
21053,Torquay,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,2.3
21054,Alexandra,2020-03-01,JobSeeker payment recipients,206
21054,Alexandra,2020-03-01,Youth Allowance recipients,14
21054,Alexandra,2020-03-01,Total JobSeeker and Youth allowance recipients,220
21054,Alexandra,2020-03-01,Population aged 15-64 y.o.,3717
21054,Alexandra,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.9
21055,Euroa,2020-03-01,JobSeeker payment recipients,216
21055,Euroa,2020-03-01,Youth Allowance recipients,17
21055,Euroa,2020-03-01,Total JobSeeker and Youth allowance recipients,233
21055,Euroa,2020-03-01,Population aged 15-64 y.o.,3520
21055,Euroa,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.6
21056,Kilmore - Broadford,2020-03-01,JobSeeker payment recipients,490
21056,Kilmore - Broadford,2020-03-01,Youth Allowance recipients,42
21056,Kilmore - Broadford,2020-03-01,Total JobSeeker and Youth allowance recipients,532
21056,Kilmore - Broadford,2020-03-01,Population aged 15-64 y.o.,9472
21056,Kilmore - Broadford,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.6
21057,Mansfield (Vic.),2020-03-01,JobSeeker payment recipients,213
21057,Mansfield (Vic.),2020-03-01,Youth Allowance recipients,12
21057,Mansfield (Vic.),2020-03-01,Total JobSeeker and Youth allowance recipients,225
21057,Mansfield (Vic.),2020-03-01,Population aged 15-64 y.o.,5413
21057,Mansfield (Vic.),2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,4.2
21058,Nagambie,2020-03-01,JobSeeker payment recipients,132
21058,Nagambie,2020-03-01,Youth Allowance recipients,6
21058,Nagambie,2020-03-01,Total JobSeeker and Youth allowance recipients,138
21058,Nagambie,2020-03-01,Population aged 15-64 y.o.,2508
21058,Nagambie,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.5
21059,Seymour,2020-03-01,JobSeeker payment recipients,409
21059,Seymour,2020-03-01,Youth Allowance recipients,42
21059,Seymour,2020-03-01,Total JobSeeker and Youth allowance recipients,451
21059,Seymour,2020-03-01,Population aged 15-64 y.o.,4079
21059,Seymour,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,11.1
21060,Seymour Region,2020-03-01,JobSeeker payment recipients,91
21060,Seymour Region,2020-03-01,Youth Allowance recipients,6
21060,Seymour Region,2020-03-01,Total JobSeeker and Youth allowance recipients,97
21060,Seymour Region,2020-03-01,Population aged 15-64 y.o.,2999
21060,Seymour Region,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.2
21062,Yea,2020-03-01,JobSeeker payment recipients,163
21062,Yea,2020-03-01,Youth Allowance recipients,9
21062,Yea,2020-03-01,Total JobSeeker and Youth allowance recipients,172
21062,Yea,2020-03-01,Population aged 15-64 y.o.,2120
21062,Yea,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,8.1
21063,Benalla,2020-03-01,JobSeeker payment recipients,414
21063,Benalla,2020-03-01,Youth Allowance recipients,57
21063,Benalla,2020-03-01,Total JobSeeker and Youth allowance recipients,471
21063,Benalla,2020-03-01,Population aged 15-64 y.o.,5925
21063,Benalla,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.9
21064,Benalla Region,2020-03-01,JobSeeker payment recipients,111
21064,Benalla Region,2020-03-01,Youth Allowance recipients,6
21064,Benalla Region,2020-03-01,Total JobSeeker and Youth allowance recipients,117
21064,Benalla Region,2020-03-01,Population aged 15-64 y.o.,2207
21064,Benalla Region,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.3
21065,Rutherglen,2020-03-01,JobSeeker payment recipients,122
21065,Rutherglen,2020-03-01,Youth Allowance recipients,8
21065,Rutherglen,2020-03-01,Total JobSeeker and Youth allowance recipients,130
21065,Rutherglen,2020-03-01,Population aged 15-64 y.o.,2403
21065,Rutherglen,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.4
21066,Wangaratta,2020-03-01,JobSeeker payment recipients,741
21066,Wangaratta,2020-03-01,Youth Allowance recipients,105
21066,Wangaratta,2020-03-01,Total JobSeeker and Youth allowance recipients,846
21066,Wangaratta,2020-03-01,Population aged 15-64 y.o.,11311
21066,Wangaratta,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,7.5
21067,Wangaratta Region,2020-03-01,JobSeeker payment recipients,215
21067,Wangaratta Region,2020-03-01,Youth Allowance recipients,14
21067,Wangaratta Region,2020-03-01,Total JobSeeker and Youth allowance recipients,229
21067,Wangaratta Region,2020-03-01,Population aged 15-64 y.o.,5883
21067,Wangaratta Region,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.9
21068,Beechworth,2020-03-01,JobSeeker payment recipients,103
21068,Beechworth,2020-03-01,Youth Allowance recipients,9
21068,Beechworth,2020-03-01,Total JobSeeker and Youth allowance recipients,112
21068,Beechworth,2020-03-01,Population aged 15-64 y.o.,2875
21068,Beechworth,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.9
21069,Bright - Mount Beauty,2020-03-01,JobSeeker payment recipients,172
21069,Bright - Mount Beauty,2020-03-01,Youth Allowance recipients,14
21069,Bright - Mount Beauty,2020-03-01,Total JobSeeker and Youth allowance recipients,186
21069,Bright - Mount Beauty,2020-03-01,Population aged 15-64 y.o.,5074
21069,Bright - Mount Beauty,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,3.7
21070,Chiltern - Indigo Valley,2020-03-01,JobSeeker payment recipients,114
21070,Chiltern - Indigo Valley,2020-03-01,Youth Allowance recipients,8
21070,Chiltern - Indigo Valley,2020-03-01,Total JobSeeker and Youth allowance recipients,122
21070,Chiltern - Indigo Valley,2020-03-01,Population aged 15-64 y.o.,2005
21070,Chiltern - Indigo Valley,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.1
21071,Myrtleford,2020-03-01,JobSeeker payment recipients,155
21071,Myrtleford,2020-03-01,Youth Allowance recipients,7
21071,Myrtleford,2020-03-01,Total JobSeeker and Youth allowance recipients,162
21071,Myrtleford,2020-03-01,Population aged 15-64 y.o.,2869
21071,Myrtleford,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,5.6
21072,Towong,2020-03-01,JobSeeker payment recipients,203
21072,Towong,2020-03-01,Youth Allowance recipients,17
21072,Towong,2020-03-01,Total JobSeeker and Youth allowance recipients,220
21072,Towong,2020-03-01,Population aged 15-64 y.o.,3439
21072,Towong,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.4
21073,West Wodonga,2020-03-01,JobSeeker payment recipients,526
21073,West Wodonga,2020-03-01,Youth Allowance recipients,85
21073,West Wodonga,2020-03-01,Total JobSeeker and Youth allowance recipients,611
21073,West Wodonga,2020-03-01,Population aged 15-64 y.o.,9902
21073,West Wodonga,2020-03-01,Percentage aged 15-64 y.o. on either JobSeeker or Youth Allowance,6.2
21074,Wodonga,2020-03-01,JobSeeker payment recipients,1056
21074,Wodonga,2020-03-01,Youth Allowance recipients,178
21074,Wodonga,2020-03-01,Total JobSeeker and Youth allowance recipients,1234
